id,value
uniform,152
czechoslovakia,23
dutch,4
netherlands,29
television,14
revisionism,6
silver,14
silver-hallmark,3
warsaw-pact,5
greece,45
zionism,11
russian-revolution,34
sexuality,44
propaganda,38
labour-history,53
moldova,4
nato,14
victorian,56
prosopography,4
arab,24
political-geography,25
identification,345
voting,17
world,37
falklands-war,7
accuracy,7
protestant-church,24
mughals,25
war-crime,23
flags,49
spaceflight,30
caliphate,13
bombing,26
malta,11
3rd-century,11
inquisition,6
mediterranean,13
infanticide,3
manchus,4
inheritance,10
1960s,45
engineering,19
the-balkans,27
weimar-republic,26
hundred-years-war,13
antisemitism,20
climate,14
habsburg,13
royal-succession,24
diplomatic-history,18
toponymy,35
piracy,16
early-medieval,67
genealogy,15
paris,22
physics,12
statistics,31
gettysburg,5
death-penalty,20
post-war,32
navigation,18
colonial-america,147
30-year-war,3
julius-caesar,21
precolumbian-contact,9
war-of-the-roses,7
south-asia,26
antarctica,10
nuclear-weapons,69
chile,4
tibet,10
english-civil-war,18
artillery,28
ancient-babylon,35
medieval-china,64
historical-accuracy,38
1600s,6
chronology,17
date,28
timeline,9
marco-polo,4
internet,8
ecology,4
war-of-1812,10
race,24
peasants,10
population,53
fur-trade,3
invasion,18
conquest,16
south-africa,26
arctic,7
migration,29
pacific-islanders,7
titanic,15
names,75
alcohol,30
prohibition,9
gold,25
war-on-terror,6
new-york,16
abraham-lincoln,17
medieval-japan,31
modernisation,5
atlantic-slave-trade,18
austria-hungary,33
titles,41
london,21
brazil,11
employment,9
barbary-wars,4
calvinism,3
religious-history,57
festival,10
gender,24
torture,10
central-asia,19
indian,19
records,36
steppe-nomads,27
jesus,15
cryptology,17
saudi-arabia,12
charles-v,2
mussolini,12
academics,13
new-zealand,6
trotskyism,6
price,14
building,35
occupations,19
versailles,10
sculpture,12
decolonization,21
muhammad,4
public-health,21
historical-techniques,32
folklore,12
bangladesh,4
cia,11
coup,13
ming-dynasty,7
western-civilisation,19
apartheid,10
family,28
assyrian-empire,15
machiavelli,3
population-transfer,14
public-finance,10
1910s,19
combat,17
industrial-history,45
mail,6
legislature,5
electoral-system,8
jerusalem,17
research-techniques,6
civil-rights,45
witchcraft,7
women,85
castles,26
identity-documents,9
national-symbols,13
modern,54
guilds,3
monument,13
armenia,7
azerbaijan,3
furniture,7
writing,60
henry-viii,11
george-washington,15
rwanda,2
albert-einstein,7
famous-people,16
ceremony,5
chivalry,3
interwar,18
madagascar,6
ancient-india,44
great-britain,47
myanmar,5
peter-i-russia,9
precolumbian-era,16
enlightenment,14
postal-history,6
seleucid-empire,2
temples,12
polish-soviet-war,2
bavaria,7
neoplatonic-academy,2
catalonia,3
silesia,7
industry,10
alps,3
forestry,9
judaism,33
articles-of-confederation,5
ww2-pacific-theater,47
peace-treaty,9
vermont,5
scramble-for-africa,6
electoral-college,10
bosnian-war,7
muslims,8
thirty-years-war,6
numismatics,64
reference,42
philippines,16
census,7
indian-rebellion-1857,1
annexation,6
afghanistan,23
development,7
dunkirk,3
us-constitution,24
russian-civil-war,12
eastern-roman-empire,7
congo,6
washington-state,9
saxons,7
rome,27
protestantism,4
orthodoxism,6
papacy,9
russo-japanese-war,3
nuremberg-trial,6
boundaries,5
land,20
the-mamluk-egypt,3
texas,5
west-coast,4
execution,7
umayyad-caliphate,16
hawaii,12
childbirth,12
venezuela,3
chartered-companies,16
demonym,6
children,17
english-army,2
serbia,8
boer-war,6
origins,11
admission-to-the-union,2
plato,3
west-asia,2
asia-minor,6
gulf-war,5
scandinavia,11
justice,6
antebelllum,3
steamboat,6
german,13
quebec,4
hygiene,5
conscription,9
fdr,4
political-succession,4
auschwitz,5
lithuania,7
reconstruction,7
dorians,2
monastery,8
ocean,4
natural-resources,12
kuwait,1
plantagenets,6
aviation,16
ships,77
attila,2
germanic,7
crimea,4
1950s,16
shops,4
zimbabwe,4
rhodesia,4
croatia,5
border,17
lodge,2
inn,2
lgbt,5
anglo-saxons,20
isaac-newton,3
health,14
battle,102
gutenberg,4
brunei,3
siberia,5
10th-century,5
black-history,17
organised-crime,12
islamic-history,31
material-culture,5
rebellion,5
polynesia,4
people,4
algeria,4
northern-ireland,4
foreign-policy,7
law-enforcement,13
tokugawa-era,3
incarceration,2
new-mexico,4
classical-japan,8
black-death,15
john-adams,3
senate,5
1980s,7
latin-america,3
printing,17
kamchatka,24
abraham,3
symbols,25
boston,4
celtic,7
roman-britain,6
sino-japanese-war,4
eisenhower,6
entertainment,9
taiwan,5
citizenship,5
epigraphy,5
hieroglyphs,4
singapore,6
oppression,4
asdic,1
nasa,2
gibraltar,1
italian,7
late-antiquity,6
pearl-harbor,3
mongols,10
theory,5
commercial,3
portuguese-empire,16
islamic-hispania,12
austroneisan,2
angola,5
exchange,2
sasanian-empire,11
helmet,4
accidents,3
advertising,3
cyprus,7
bridge,2
manorialism,2
nevada,3
secrecy,6
electricity,3
english-language,11
code-of-hammurabi,2
whaling,2
boats,5
indochina,9
crusaders,8
desert,3
freemasonry,4
painting,16
prostitution,2
jewelry,5
international-law,4
disabilities,5
florida,3
midway,2
basques,2
metric,2
concentration-camps,8
eugenics,2
hong-kong,7
morocco,7
jesuits,5
caucasus,6
tang-dynasty,3
moscow,6
roman-hispania,2
goths,7
huns,4
vandals,2
epidemics,4
spanish-flu,5
hospitallers,3
ww2-european-theater,79
templars,2
sicily,4
fbi,2
richard-nixon,6
erwin-rommel,6
anatolia,5
central-america,3
estonia,3
latvia,4
teutonic-order,1
imperial-japan,14
pirates,2
nassau,1
edo-period,8
ancient-japan,5
pincer,2
photograph,13
medieval-russia,3
post-war-japan,1
namibia,2
partition-of-india-1947,2
illness,2
allies,4
alexandria,3
ideology,2
silk-road,2
colonial,3
ottoman,2
weather,1
wales,3
hiroshima,1
parenting,2
primary-source,3
depopulation,1
debt,1
government-debt,1
battle-of-berlin,1
battle-of-okinawa,1
arms-trade,1
sewage,1
textiles,1
parthia,1
rivers,1
transport,1
chiang-kai-shek,1
confucius,1
vichy-france,2
counter-insurgency,1
liberia,2
snowfall,1
manuscript,1
american-south,1
