id,value
kufr,128
monotheism,5
pregnancy,22
limitation,3
age,15
kaffarah,25
shahada,51
islamqa,10
sujud,19
quran-only,12
surat-al-ankabut,1
surat-an-najm,1
prophet-lut,8
jahiliyya,5
mustahab,4
laughter,3
cartoon,19
pronunciation,8
gold,11
uloom-al-quran,61
comparative-religions,13
karbala,4
muharram,4
celebration,26
awrah,55
najis,62
deeds,53
parents,123
social-media,8
ummah,9
sexuality,30
battle-of-karbala,3
divine-attributes,11
alien,6
pain,5
rape,15
evil-thoughts,24
equality,12
masturbation,113
jahannam,98
protection,8
funeral,22
witr,12
baptism,3
metaphysical,4
transgender,17
divine-justice,7
maryam,11
prophet-musa,26
omnipresence,4
contradiction,27
hindu,10
backbiting,29
preservation,4
interfaith,14
hijra,5
depression,11
doubts,60
challenge-of-the-quran,6
last-day,5
curse,11
fear,6
birth-control,6
family-planning,3
smoking,15
spirituality,11
human-body,48
hanbali,5
adornments,4
al-walaa-wal-baraa,1
anger,20
self-defense,9
justice,11
software,59
wali,36
prophet-nuh,7
fashion-design,5
contract,4
qiyas,6
rajm,9
blasphemy,15
cosmetics,8
criminal,4
lying,38
behavior,67
blessings-of-allah,21
jealousy,5
blood,9
ashura,4
fidyah,2
hunting,8
halal-certification,19
moon,7
pornography,20
qadar,35
surat-al-imran,14
surat-adh-dhariyat,2
surat-ash-shura,2
ruku,7
takbir,8
tashahhud,21
perfume,8
hirabah,2
torture,5
qisas,4
poetry,3
tribalism,2
friendship,35
caste,7
studying,5
surat-an-nahl,2
zakat-al-fitr,2
sadaqah-al-fitr,9
takfir,4
surat-hud,5
mecca,4
intercourse,16
tawakkul,4
knowing-islam,13
ilm-ar-rijal,47
ruqya,6
waswasa,59
nocturnal-emission,15
hereafter,12
islamic-notability,1
abu-bakr,2
ibn-arabi,2
modernity,2
mutazilites,3
surat-al-ala,1
ghayb,1
nifaas,1
yunus,1
orphans,4
thinking,5
sahifa,1
darul-islam,1
extremism,2
ibn-taymiyyah,3
law,1
slaves,4
source,1
walad-al-zina,4
previous-scriptures,3
diabetis,1
