id,value
quantum-computing,18
shift-register,9
optimization,11
cades,2
related-keys,20
s2k,6
isaac,10
tpm,2
cca1,2
grovers-algorithm,10
pohlig-hellman-cipher,14
snarks,23
computational-complexity-theory,26
obfuscation,9
bip32,6
secp256k1,20
soundness,8
noise-protocol,7
random-noise,3
mds,35
gaussian-noise,5
crypto-agility,3
shuffle,3
quantum-key-distribution,28
blake3,6
hqc,2
lenstra-lenstra-lovasz,12
practice,2
output-size,4
code-based-cryptography,7
inherently-sequential,4
shors-algorithm,20
eddsa,19
rc5,7
shs,4
simd,1
picnic,2
exhaustion,1
indistinguishability,14
non-commutative-cryptography,3
bilinear-pairing,6
chia,1
proof-of-space,1
anom,1
blind-copy,1
dna-computing,1
multi-target,5
ggm,4
rfc6979,5
deter,1
collision-atack,2
encipher,2
cipher-text-genome,1
wots,1
